"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	16	0	0	14
"obs2"	16	0	0	14
"obs3"	16	0	0	14
"obs4"	16	0	0	14
"obs5"	16	0	0	14
"obs6"	16	0	0	14
"obs7"	16	0	0	14
"obs8"	16	0	0	14
"obs9"	16	0	0	14
"obs10"	16	0	0	14
"obs11"	16	0	0	14
"obs12"	16	0	0	14
"obs13"	16	0	0	14
"obs14"	16	0	0	14
"2d-2.n2.s1.e3.ds0.1.de0.ov_no"	15	7	199.786011904762	12
"2d-2.n2.s1.e3.ds0.075.de0.ov_no"	14	7	200.286011904762	12
"2d-2.n2.s1.e3.ds0.05.de0.ov_no"	13	7	200.286011904762	12
"2d-2.n2.s1.e3.ds0.025.de0.ov_no"	12	7	200.286011904762	12
"2d-1.n1.s1.e3.ds0.de0.ov_yes"	11	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.de0.ov_no"	10	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.1.de0.ov_yes"	9	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.1.de0.ov_no"	8	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.075.de0.ov_yes"	7	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.075.de0.ov_no"	6	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.05.de0.ov_yes"	5	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.05.de0.ov_no"	4	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.025.de0.ov_yes"	3	3.5	200.999801587302	12
"2d-1.n1.s1.e3.ds0.025.de0.ov_no"	2	3.5	200.999801587302	12
"2d-2.n2.s1.e3.ds0.de0.ov_no"	1	7	202.071825396825	12
