surge_set	surge_count	time_to_id_days	window_overlap	window_size_samples	start_threshold	exit_threshold	delta_threshold_start	delta_threshold_exit	match_cost_sec	match_cost_days	match_cost_days_per_surge
1d	14	14	yes	1	2	2	0.025	0	33609840	389.002777777778	27.7859126984127
1d	14	14	no	1	2	2	0.025	0	33609840	389.002777777778	27.7859126984127
1d	14	14	yes	1	2	2	0	0	35597160	412.004166666667	29.428869047619
1d	14	14	no	1	2	2	0	0	35597160	412.004166666667	29.428869047619
3d	14	16.3333333333333	yes	4	4	4	0	0	43459080	502.998611111111	35.9284722222222
4d	14	5.25	yes	1	3	3	0.05	0	46914840	542.995833333333	38.7854166666667
4d	14	5.25	yes	1	3	3	0.075	0	46914840	542.995833333333	38.7854166666667
4d	14	5.25	no	1	3	3	0.05	0	46914840	542.995833333333	38.7854166666667
4d	14	5.25	no	1	3	3	0.075	0	46914840	542.995833333333	38.7854166666667
3d	14	11.6666666666667	yes	3	3	4	0.075	0	47692680	551.998611111111	39.4284722222222
4d	14	5.25	yes	1	3	3	0.025	0	49938840	577.995833333333	41.2854166666667
4d	14	5.25	no	1	3	3	0.025	0	49938840	577.995833333333	41.2854166666667
3d	14	18.6666666666667	yes	5	4	3	0.05	0	62726880	726.005555555556	51.8575396825397
all	14	5.83333333333333	yes	2	4	4	0.05	0	63244440	731.995833333333	52.2854166666667
3d	14	14	no	3	2	2	0.025	0	67219080	777.998611111111	55.5713293650794
all	14	14	no	4	3	1	0	0	67478160	780.997222222222	55.7855158730159
4d	14	14	yes	5	4	4	0.05	0	72575160	839.990277777778	59.9993055555556
2d	14	31.5	yes	6	4	2	0	0	74822520	866.001388888889	61.8572420634921
2d	14	21	yes	6	1	4	0.1	0	75514080	874.005555555556	62.4289682539683
2d	14	24.5	yes	6	2	4	0	0	75859200	878	62.7142857142857
4d	14	10.5	no	2	3	1	0.025	0	76722840	887.995833333333	63.4282738095238
4d	14	10.5	no	2	3	1	0.05	0	76722840	887.995833333333	63.4282738095238
2d	14	24.5	yes	6	2	3	0.025	0	77674080	899.005555555556	64.2146825396825
